City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
434,Kandrian,PG,77.0,light rain,-6.2167,149.55,Kandrian Station
437,Maracas,BR,71.76,overcast clouds,-13.4411,-40.4308,Pousada Vale Aprazível
438,Alappuzha,IN,80.49,overcast clouds,9.49,76.3264,Panoramic Sea Resort
440,Xuddur,SO,85.03,broken clouds,4.1213,43.8894,Banjanay Hotel
442,Zhangye,CN,78.96,clear sky,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
444,Morondava,MG,80.4,clear sky,-20.2833,44.2833,La Case Bambou
445,Tehachapi,US,72.66,clear sky,35.1322,-118.449,"Holiday Inn Express & Suites Tehachapi Hwy 58/Mill St., an IHG Hotel"
446,Pundaguitan,PH,84.36,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
448,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
449,Castle Rock,US,70.25,scattered clouds,39.3722,-104.8561,Best Western Plus Castle Rock
450,Pemangkat,ID,80.91,overcast clouds,1.1667,108.9667,Ramah Kost KITA
452,Havelock,US,80.58,few clouds,34.8791,-76.9013,Sherwood Motel
453,Ludwigslust,DE,77.83,scattered clouds,53.3167,11.5,"Hotel & Restaurant ""Prinzenstube"" Hotel Erbprinz Ludwigslust"
456,Riachao,BR,80.08,broken clouds,-7.3619,-46.6172,Pousada Nordestina
458,Camacari,BR,82.17,broken clouds,-12.6975,-38.3242,Sítio Blasi
463,Palu,ID,76.69,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
468,Voi,KE,82.87,broken clouds,-3.3945,38.563,Voi Wildlife Lodge
469,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
471,Serra Talhada,BR,71.58,overcast clouds,-7.9919,-38.2983,Pousada São Luiz
472,Tulun,RU,73.69,overcast clouds,54.5611,100.5792,Квартира
475,Winsum,NL,71.62,scattered clouds,53.33,6.5208,Tuinhuis
478,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
481,Kishapu,TZ,83.64,clear sky,-3.6167,33.8667,Stage 2
483,Xai-Xai,MZ,75.88,clear sky,-25.0519,33.6442,Complexo da Familia
485,Alamogordo,US,78.44,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
486,Igarka,RU,73.08,overcast clouds,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
489,Caravelas,BR,76.73,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
491,Giarmata,RO,82.35,clear sky,45.8383,21.3108,Agropensiune kevin&jessica
494,Fayaoue,NC,76.24,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
495,Nsanje,MW,79.02,scattered clouds,-16.92,35.262,Nsanje Discovery Lodge
497,Bolzano,IT,89.98,clear sky,46.4927,11.3336,Hotel Regina
499,Grand-Lahou,CI,82.2,light rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
501,Arawa,PG,76.03,few clouds,-6.2132,155.5367,Coastline Guest House
503,Fort-Shevchenko,KZ,78.13,clear sky,44.5086,50.263,Oasis hotel Bautino
504,Bahir Dar,ET,83.08,scattered clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
506,Tipitapa,NI,73.42,scattered clouds,12.1973,-86.0971,Hotel Entre Rios
511,Lorengau,PG,82.08,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
512,Nieuw Amsterdam,SR,79.14,few clouds,5.8833,-55.0833,Hotel Stardust
513,Sines,PT,79.81,clear sky,37.9562,-8.8698,Hotel Sinerama
514,Trat,TH,88.92,overcast clouds,12.5,102.5,สวนหนิง-อัศ
516,Asau,RO,74.95,broken clouds,46.4333,26.4,Casa Mika Ciobanus
517,Plettenberg Bay,ZA,78.58,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
518,Ajdabiya,LY,81.93,clear sky,30.7554,20.2263,Almadina Hotel
520,Belmonte,BR,77.49,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
521,Maragheh,IR,86.27,few clouds,37.3917,46.2398,Maragheh Grand Hotel
523,Santa Rosa,PH,85.08,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
526,Itoman,JP,79.57,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
527,Atbasar,KZ,78.53,broken clouds,51.8,68.3333,Гостиничный Комплекс Saad
